,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,Region
0,uPL,AK,0,2,1,436215,420279,318438,14498,60252,18418,1937,6736,15936,14984,511,8492,1549,273,1917,393,127,27,174,458,96,246,402,275,44,861,230,18,2,31,186,30,129,101,60,9,8,1,8,5,2,1,21,7,0,12,70,21,1,8,3,2,0,13,7,2,11,2,0,0,0,0,21,20,0,0,0,1,0,0,0,436215,15588,420627,406215,311655,14113,59553,18193,1869,832,14412,13569,462,8248,1487,259,1178,378,118,24,77,436,87,178,389,221,27,770,212,18,1,24,173,29,108,93,47,8,8,0,7,5,1,0,21,6,0,9,55,18,0,7,1,0,0,10,7,1,9,2,0,0,0,0,18,17,0,0,0,1,0,0,0,West
1,uPL,AL,0,2,1,3323678,3296426,2440176,796342,16144,23724,1063,18977,27252,25799,1385,13187,2654,228,3875,1672,657,182,741,171,14,282,257,444,50,1223,498,34,8,64,66,9,138,100,63,17,23,5,26,79,50,14,9,4,2,14,146,31,3,20,14,0,1,8,1,0,18,8,1,0,39,2,72,38,8,1,13,6,6,12,12,3323678,50955,3272723,3248249,2414670,792634,15614,23465,806,1060,24474,23200,1326,12963,2569,216,2329,1643,577,163,546,150,7,104,249,348,10,1087,487,30,7,50,63,8,114,92,45,9,20,4,18,66,41,12,6,2,2,11,118,29,1,18,12,0,0,5,1,0,15,7,1,0,27,2,57,30,7,0,13,5,2,12,12,South_East
2,uPL,AR,0,2,1,1993031,1971376,1639443,278007,12490,15177,1057,25202,21655,20610,909,12057,1554,211,3572,744,235,51,311,87,39,166,242,326,106,845,311,14,3,47,60,10,135,85,41,13,8,3,13,41,25,15,6,6,0,9,113,32,1,11,7,1,0,12,3,0,16,4,1,0,25,0,80,69,2,0,1,7,1,7,7,1993031,54850,1938181,1919522,1614701,276569,11810,14964,934,544,18659,17768,850,11746,1504,195,1556,730,211,43,195,74,35,80,238,244,67,731,283,13,3,39,54,9,106,81,31,10,7,3,12,37,16,13,3,4,0,7,94,26,1,8,7,1,0,12,2,0,14,3,0,0,20,0,63,54,1,0,1,6,1,3,3,South_East
3,uPL,AZ,0,2,1,3763685,3685038,2974910,107926,155283,71144,4602,371173,78647,74953,3642,14616,7424,1079,36537,1570,681,103,1933,495,119,2948,1224,2177,405,3372,1047,99,16,257,201,40,551,451,316,77,40,5,60,32,46,13,20,29,10,62,232,64,7,47,12,3,1,33,9,1,40,3,0,2,8,2,86,77,1,2,1,3,2,4,4,3763685,802474,2961211,2918766,2595584,103257,142940,69331,3957,3697,42445,39888,3076,12377,6764,962,9769,1417,630,98,831,336,95,1074,1130,1200,129,2327,827,75,14,138,148,32,246,417,198,25,32,4,41,27,35,6,12,11,4,35,170,58,5,23,9,1,1,26,6,1,26,3,0,2,7,2,60,55,1,2,0,2,0,0,0,South_West
4,uPL,CA,0,2,1,24621819,23685499,15406430,1572569,226960,2821631,79401,3578508,936320,888581,33923,121197,114986,14893,437415,17447,11637,1774,23360,9470,1113,18906,26477,49925,6058,42965,11680,1548,222,2751,3196,604,5114,6403,5747,952,805,122,820,396,631,149,406,499,72,848,3725,1568,125,580,154,155,22,407,184,43,305,57,53,10,45,17,965,756,120,12,30,28,19,84,84,24621819,6915731,17706088,17164055,12593932,1528106,129872,2793113,71930,47102,542033,507516,28386,97974,105783,13285,147287,16158,10924,1610,11372,7095,796,2553,25426,36124,2743,31084,9852,1267,194,1589,2309,454,2252,5756,3665,491,672,80,617,325,451,91,305,106,19,589,2735,1339,93,358,112,93,15,307,86,21,189,39,32,7,36,8,656,545,73,2,13,16,7,42,42,South_West
5,uPL,CO,0,2,1,3200466,3133488,2712698,114702,31098,71592,3292,200106,66978,63401,3437,16533,7664,921,25223,1581,783,137,1853,415,80,1933,968,1635,238,3233,1001,120,25,198,230,44,556,506,263,46,48,9,52,16,31,6,26,21,12,23,219,79,5,32,11,8,4,36,12,0,12,14,1,0,1,4,120,114,3,0,3,0,0,5,5,3200466,476879,2723587,2682662,2473860,111334,21053,70384,2807,3224,40925,38303,3017,13740,7196,829,7402,1428,754,121,990,295,63,368,901,1137,62,2372,850,106,21,137,173,27,222,458,173,28,47,7,31,14,27,1,22,6,8,14,145,65,5,16,10,3,3,25,7,0,7,1,0,0,1,2,101,96,3,0,2,0,0,4,4,South_West
6,uPL,CT,0,2,1,2563877,2519687,2147418,210363,6740,60941,971,93254,44190,41824,3673,5368,3299,354,16975,2437,555,489,5299,269,33,494,406,1869,304,2148,982,81,19,324,83,13,155,89,113,42,32,11,77,19,57,23,5,12,3,8,164,48,10,44,5,11,6,11,5,0,11,8,2,1,2,0,52,45,4,0,2,0,1,2,2,2563877,204664,2359213,2327479,2053286,202510,5192,60461,718,5312,31734,29959,2810,5056,3189,313,8869,2285,514,476,4050,228,14,99,402,1604,50,1621,787,63,16,205,74,12,88,84,76,13,29,11,59,17,54,16,4,6,0,7,114,36,6,28,3,8,1,11,2,0,10,5,2,0,2,0,38,35,1,0,1,0,1,2,2,North_East
7,uPL,DC,0,2,1,457067,446783,158946,257012,1361,13437,277,15750,10284,9294,1024,529,935,54,2728,1100,361,84,1879,42,4,98,92,327,37,908,540,36,3,98,17,1,34,27,39,3,25,3,33,9,22,13,0,2,1,2,73,38,2,14,4,3,1,3,1,0,3,0,2,0,2,0,8,7,1,0,0,0,0,1,1,457067,33525,423542,416117,145483,254687,1036,13318,226,1367,7425,6623,856,416,904,42,1054,1073,339,81,1449,32,2,25,89,249,12,746,495,30,3,48,15,1,15,23,27,1,23,2,29,5,17,9,0,0,1,2,50,26,2,9,2,3,0,1,0,0,3,0,2,0,2,0,6,5,1,0,0,0,0,0,0,South_East
8,uPL,DE,0,2,1,589013,582294,454158,103489,2064,12333,220,10030,6719,6262,772,1151,789,51,1505,610,183,51,681,46,3,117,57,219,27,411,215,13,1,54,10,2,32,14,12,5,7,3,26,8,5,0,0,1,2,1,32,10,0,11,0,3,0,0,0,0,3,2,0,0,3,0,12,12,0,0,0,0,0,2,2,589013,23712,565301,560004,443055,102225,1797,12249,186,492,5297,4936,692,1100,775,47,706,572,176,47,490,45,2,25,57,191,11,325,193,9,0,35,7,2,11,14,11,3,6,3,20,6,4,0,0,0,0,1,24,9,0,7,0,0,0,0,0,0,3,2,0,0,3,0,12,12,0,0,0,0,0,0,0,North_East
9,uPL,FL,0,2,1,12336038,12091092,9960984,1560928,39564,204194,6345,319077,244946,234752,12816,33383,20501,2163,94421,5036,5297,3624,44023,1122,154,2765,1769,6690,988,9150,2308,787,107,1465,402,71,776,588,925,223,147,30,193,245,519,159,38,75,29,63,749,272,14,124,44,62,25,48,15,4,40,22,7,1,67,4,283,227,22,0,18,8,8,12,12,12336038,1980176,10355862,10205367,8439743,1511373,31885,201038,5172,16156,150495,143347,8192,31187,19034,1762,24738,4696,5020,3410,36391,943,111,558,1709,5276,320,6363,1744,650,83,755,338,61,390,551,615,46,124,27,120,226,454,84,28,14,13,40,563,239,9,62,42,46,11,41,10,2,26,14,5,0,55,1,215,180,16,0,6,6,7,7,7,South_East
10,uPL,GA,0,2,1,6017219,5949808,4064946,1602985,16104,129659,3124,132990,67411,62983,4864,14659,7118,629,17534,3996,1949,583,5938,658,47,995,782,2833,398,3697,1434,172,27,358,159,32,318,321,229,36,70,24,105,191,107,40,23,23,1,27,459,133,8,52,23,14,1,27,3,3,54,18,5,3,114,1,253,178,9,2,14,8,42,19,19,6017219,299258,5717961,5666522,3925585,1591421,13295,128458,2445,5318,51439,47749,4210,14093,6892,562,7273,3852,1829,536,4417,569,42,253,748,2375,98,3084,1306,149,23,234,140,30,201,310,174,20,62,17,94,176,84,18,18,10,0,18,382,115,8,34,18,10,0,23,2,2,45,16,4,2,102,1,210,162,7,2,13,5,21,14,14,South_East
11,uPL,HI,0,2,1,915770,766511,245106,16129,2821,415365,75840,11250,149259,107921,853,4596,29204,20784,5891,515,694,507,277,981,825,160,37418,4056,1160,36373,505,123,104,69,1197,643,168,27474,2042,1982,98,34,20,235,23,22,664,42,43,885,4716,170,45,18,121,15,13,1485,51,61,2660,35,4,0,9,29,238,106,10,2,19,97,4,11,11,915770,52534,863236,733029,232643,15405,2026,408429,73195,1331,130207,95476,757,3955,26519,19289,3829,470,645,463,145,707,718,35,34693,2527,724,31027,429,94,85,41,876,523,89,24480,1459,1651,76,28,9,212,12,14,470,12,24,443,3555,155,38,9,102,11,8,1039,22,36,2084,29,4,0,5,13,143,65,5,2,7,63,1,6,6,West
12,uPL,IA,0,2,1,2192686,2177870,2082142,39813,5841,26330,748,22996,14816,14039,1477,4613,1848,264,3903,349,128,29,329,134,15,170,225,511,44,693,316,19,5,77,47,7,53,77,45,13,3,1,6,6,5,4,2,3,0,4,49,19,2,6,3,1,0,8,1,1,3,4,1,0,0,0,33,25,2,1,0,0,5,2,2,2192686,49746,2142940,2131037,2058862,39254,5276,26126,679,840,11903,11258,1392,4385,1799,254,1824,337,122,24,242,120,12,51,223,456,17,573,284,14,4,61,42,7,31,66,31,12,3,1,3,6,2,2,0,0,0,4,39,19,2,2,2,1,0,6,0,0,2,4,1,0,0,0,31,25,1,0,0,0,5,2,2,Mid_West
13,uPL,ID,0,2,1,924923,911459,853928,3557,11611,9134,908,32321,13464,12798,385,5105,1610,295,4376,92,37,5,120,83,18,239,193,200,40,578,96,10,0,18,57,14,96,132,95,14,4,4,2,15,6,0,3,6,2,4,44,12,2,5,7,0,1,9,4,0,2,1,1,0,0,0,44,44,0,0,0,0,0,0,0,924923,58788,866135,855977,831544,3243,10595,8991,843,761,10158,9671,334,4793,1548,277,2080,81,28,5,48,69,15,72,185,118,18,424,81,8,0,16,46,13,65,126,40,5,4,1,2,4,4,0,3,2,0,4,30,9,0,3,5,0,0,8,1,0,2,1,1,0,0,0,33,33,0,0,0,0,0,0,0,West
14,uPL,IL,0,2,1,9173842,9037979,6957100,1268979,21591,324293,3411,462605,135863,129796,8983,17555,14675,1119,63632,4515,1646,357,5702,1370,55,1715,1705,5862,905,5485,2391,220,29,569,261,43,535,280,503,56,116,13,134,70,133,32,23,38,6,33,438,184,15,111,31,16,5,17,11,1,12,12,3,0,17,3,124,103,10,1,5,3,2,20,20,9173842,977952,8195890,8105876,6503679,1256973,13465,322067,2394,7298,90014,85330,7595,15795,14089,1024,28714,4290,1565,331,3677,1215,32,273,1652,4970,108,4270,2082,187,24,350,216,40,227,259,404,19,99,12,93,62,108,16,21,23,1,27,311,155,9,70,22,9,1,12,3,0,6,7,2,0,14,1,89,72,8,1,3,3,2,14,14,Mid_West
15,uPL,IN,0,2,1,4506089,4467390,4000251,345552,11516,45453,1428,63190,38699,36416,3894,13132,4375,503,9352,1348,518,96,1178,219,25,348,415,911,102,2031,922,57,13,215,110,19,200,167,115,23,55,5,40,32,27,7,8,7,0,9,185,62,6,38,16,4,1,14,6,0,23,8,1,0,6,0,60,51,5,0,1,2,1,7,7,4506089,138382,4367707,4336148,3934530,343149,10084,44986,1149,2250,31559,29623,3673,12673,4241,468,4408,1302,484,84,757,191,15,134,399,777,17,1730,854,52,13,179,86,16,137,140,89,12,46,4,37,25,22,5,4,2,0,7,148,51,4,34,15,4,0,8,5,0,18,4,1,0,4,0,51,45,4,0,0,2,0,7,7,Mid_West
16,uPL,KS,0,2,1,1975425,1946901,1734297,103812,17100,34587,922,56183,28524,27179,1850,11616,2631,346,6707,1249,322,63,712,158,27,370,332,701,95,1209,533,41,5,89,79,13,165,82,73,15,31,3,32,10,14,3,6,6,3,6,103,51,5,15,8,0,1,7,3,1,4,4,2,0,1,1,31,28,1,0,0,2,0,2,2,1975425,114339,1861086,1838920,1684880,102369,15507,34260,817,1087,22166,21060,1707,11160,2546,314,2209,1186,311,57,404,139,18,106,314,567,22,995,476,36,4,63,71,13,100,78,54,9,29,2,30,8,7,3,4,3,1,4,86,44,4,14,8,0,0,6,1,0,2,4,2,0,0,1,23,20,1,0,0,2,0,2,2,Mid_West
17,uPL,KY,0,2,1,3046951,3024030,2772539,206858,6546,22572,1048,14467,22921,21584,1876,10067,2469,375,3974,814,324,83,625,136,22,178,190,386,65,1139,465,36,5,97,72,15,121,133,83,7,18,4,20,26,9,10,7,3,1,7,114,42,2,14,9,2,0,11,2,0,22,3,0,0,7,0,79,61,6,1,4,5,2,5,5,3046951,41061,3005890,2985448,2749608,205287,6098,22317,912,1226,20442,19288,1789,9853,2387,337,2584,790,305,76,464,119,21,66,181,297,19,997,430,33,5,86,54,13,101,123,68,4,16,4,16,19,9,6,3,1,1,5,86,38,2,8,4,2,0,4,2,0,17,3,0,0,6,0,67,55,4,0,3,4,1,4,4,South_East
18,uPL,LA,0,2,1,3249177,3219218,2174322,965052,17247,40038,913,21646,29959,27650,2114,8297,3043,289,7940,1811,690,170,1601,232,19,348,261,698,137,1925,809,62,1,205,92,5,180,111,138,11,34,3,68,118,48,11,14,7,1,7,270,50,2,88,23,5,1,13,1,0,8,14,3,0,58,4,99,80,5,2,2,6,4,15,15,3249177,77083,3172094,3147727,2128485,959622,16315,39702,800,2803,24367,22450,1953,7923,2898,260,4541,1734,623,146,1113,217,16,185,253,568,20,1619,728,48,1,173,80,5,136,100,93,3,32,3,55,96,44,6,10,1,0,5,198,29,2,62,14,5,0,11,0,0,7,13,2,0,49,4,90,74,4,0,2,6,4,10,10,South_East
19,uPL,MA,0,2,1,4849033,4758677,4180644,236027,10415,178698,1799,151094,90356,85889,7276,9126,7875,1216,34303,2635,948,673,15127,502,45,894,830,3495,944,4028,1508,146,22,834,133,31,264,185,269,76,67,8,177,40,116,85,12,27,6,22,333,144,12,91,8,16,4,12,5,0,12,8,7,1,9,4,99,86,6,0,0,5,2,7,7,4849033,271003,4578030,4508514,4069567,220658,8150,177829,1317,30993,69516,66120,5282,8606,7669,1132,22345,2461,868,615,12244,466,27,282,815,3041,267,3061,1240,123,20,522,121,29,142,175,215,49,61,7,138,25,97,64,7,8,3,15,243,120,8,58,4,9,4,10,4,0,8,5,6,0,7,0,85,73,5,0,0,5,2,7,7,North_East
20,uPL,MD,0,2,1,3940314,3881173,2602966,1040141,11304,160943,1743,64076,59141,54497,5374,7392,7473,478,14555,4644,1811,587,7293,623,55,583,748,2682,199,4174,2290,223,22,363,129,16,169,185,246,24,108,17,132,58,109,31,10,20,1,21,344,183,8,62,9,9,5,13,5,0,14,8,10,2,16,0,111,93,13,0,0,3,2,15,15,3940314,155820,3784494,3737742,2529039,1032211,9886,160129,1469,5008,46752,42784,4796,6847,7225,426,6843,4499,1744,559,5846,565,46,211,722,2378,77,3582,2095,204,21,240,114,15,85,166,205,15,96,17,112,50,94,16,7,10,1,19,281,160,8,45,7,6,3,12,2,0,12,8,7,0,11,0,95,81,9,0,0,3,2,10,10,South_East
21,uPL,ME,0,2,1,973685,966547,949142,4182,4816,6392,277,1738,7138,6803,464,3686,909,107,1094,80,45,14,141,33,8,45,49,118,10,288,114,10,1,32,27,1,40,24,18,1,3,0,8,2,0,2,1,3,0,1,20,9,0,2,0,0,0,5,1,0,3,0,0,0,0,0,27,26,0,0,1,0,0,0,0,973685,5770,967915,961194,945473,3990,4717,6337,244,433,6721,6423,434,3644,892,103,891,76,38,8,118,28,8,31,47,103,2,260,105,8,0,31,27,1,33,22,16,1,3,0,8,0,0,2,1,1,0,1,17,9,0,1,0,0,0,5,0,0,2,0,0,0,0,0,21,20,0,0,1,0,0,0,0,North_East
22,uPL,MI,0,2,1,7342677,7239684,6028037,958883,39991,128682,1917,82174,102993,97054,8461,30816,10045,905,31684,5686,1368,307,3139,646,67,711,743,2338,138,5398,3102,159,24,327,235,41,394,256,292,24,107,17,126,91,107,25,18,16,5,32,356,149,23,58,15,15,2,23,9,1,17,18,4,1,20,1,170,153,5,1,1,8,2,15,15,7342677,200496,7142181,7052375,5927569,952956,36850,127879,1571,5550,89806,84583,8035,29498,9770,843,23288,5525,1308,273,2246,588,52,313,725,2074,45,4807,2893,143,20,272,202,37,281,233,256,17,98,15,104,78,92,19,15,8,0,24,278,133,20,49,11,8,0,20,1,0,9,3,4,1,19,0,129,116,2,0,1,8,2,9,9,Mid_West
23,uPL,MN,0,2,1,3632585,3593694,3321004,107423,34360,88137,1413,41357,38891,36785,4248,11102,4756,459,7004,1293,514,122,3407,429,25,386,1120,1826,94,1892,962,83,10,157,91,24,93,205,91,11,28,2,28,12,21,24,20,14,4,12,152,73,5,22,15,3,1,12,2,2,9,5,1,0,1,1,58,55,2,0,1,0,0,4,4,3632585,87742,3544843,3511762,3281738,105852,32890,87602,1245,2435,33081,31288,3910,10551,4662,428,3324,1229,483,113,3121,409,17,181,1107,1716,37,1616,855,75,10,111,78,22,59,194,72,7,25,2,20,10,16,22,17,12,1,8,124,63,4,17,15,1,1,10,0,0,6,5,1,0,1,0,49,47,1,0,1,0,0,4,4,Mid_West
